作品名,映画ID,年,公開日,興収(億円),区分,配給会社,あらすじ,監督,脚本,キャスト,脚本家,プロデューサー,コピーライト,,,
映画クレヨンしんちゃん オラたちの恐竜日記,100877,2024,2024/8/9,26.9,邦画,東宝,"幅広い世代から愛され続ける人気アニメ「映画クレヨンしんちゃん」シリーズの31作目。

夏休みの始まりにワクワクする野原しんのすけ。ある日、現代によみがえった恐竜が生息するテーマパーク「ディノズアイランド」が東京にオープンすることが決まる。念願かなって見学ツアーに招待されたしんのすけと仲間たち「カスカベ防衛隊」は、世界中から注目を集めるディノズアイランドで恐竜たちとの出会いを満喫する。同じ頃、カスカベの河原では野原家の愛犬シロが小さな恐竜ナナと出会う。愛くるしい見た目のナナは野原家やカスカベ防衛隊ともすぐに仲良くなり、一緒に夏休みを過ごしてたくさんの思い出を作っていくが、ナナには大きな秘密があった。そんな中、ディノズアイランドから恐竜たちが脱走する事態が起こり……。

監督はアニメ「デュエル・マスターズ」シリーズの佐々木忍。しんのすけたちと行動をともにする生物学の研究者ビリー役を務める北村匠海のほか、お笑いコンビ「オズワルド」の伊藤俊介と畠中悠がゲスト声優出演。",佐々木忍,臼井儀人,"小林由美子, ならはしみき, 森川智之, こおろぎさとみ, 真柴摩利, 北村匠海, 伊藤俊介, 畠中悠, 水樹奈々, 戸松遥, 安元洋貴, 小林ゆう, 金田朋子, 内田真礼",モラル,,(C)臼井儀人／双葉社・シンエイ・テレビ朝日・ADK 2024,,1,1
僕のヒーローアカデミア THE MOVIE ユアネクスト,99983,2024,2024/8/2,36,邦画,東宝,"「週刊少年ジャンプ」連載の同名コミックを原作とする人気アニメ「僕のヒーローアカデミア」の劇場版第4弾。前3作に続いて原作者の堀越耕平が総監修を手がけ、テレビアニメ7期で描かれるヒーローvsヴィランの最終決戦直前に起きた、世界を揺るがす大事件をオリジナルストーリーで活写する。

巨悪オール・フォー・ワンとの死闘を制した“平和の象徴”オールマイトは、「次は、君だ」という言葉を残してナンバーワンヒーローの座を退き、その意志は出久たち雄英高校ヒーロー科の生徒たちに受け継がれた。出久たちが雄英高校2年目の春、ヒーローとヴィランの全面戦争が勃発し、出久は恐るべき力を得た死柄木弔と激闘を繰り広げる。死柄木の撤退により戦いは一旦の終結を迎えたものの、日本各地の刑務所から脱獄したヴィランたちによって社会は荒廃していく。そんな中、突如として謎の巨大要塞が現れ、街や人々を飲み込んでしまう。そして出久たちの前に、見た目はオールマイトにそっくりだが真逆の信念を持つ敵・ダークマイトが立ちはだかる。

劇場版オリジナルキャラクターのジュリオ・ガンディーニ役で人気声優の宮野真守が「ヒロアカ」シリーズに初参加。また、「めるる」の愛称で人気のタレント・モデル・俳優の生見愛瑠もゲスト声優出演。",岡村天斎,堀越耕平,"山下大輝, 岡本信彦, 梶裕貴, 佐倉綾音, 石川界人, 稲田徹, 中村悠一, 宮野真守, 生見愛瑠, 三宅健太, 寿美菜子, てらそままさき, 小林裕介, 小野友樹, 菊池通武, 魚建",黒田洋介,,(C)2024「僕のヒーローアカデミア THE MOVIE」製作委員会 (C)堀越耕平／集英社,,1,1
インサイド・ヘッド2,100829,2024,2024/8/1,53.6,洋画,WDS,"人間が抱く「感情」たちの世界を舞台に描き、アカデミー賞で長編アニメーション賞を受賞したディズニー＆ピクサーのアニメーション映画「インサイド・ヘッド」の続編。

少女ライリーを子どもの頃から見守ってきたヨロコビ、カナシミ、イカリ、ムカムカ、ビビリの感情たちは、転校先の学校に慣れ新しい友人もできたライリーが幸せに暮らせるよう奮闘する日々を過ごしていた。そんなある日、高校入学を控え人生の転機に直面したライリーの頭の中で、謎の警報が鳴り響く。戸惑うヨロコビたちの前に現れたのは、最悪の未来を想像してしまう「シンパイ」、誰かを羨んでばかりいる「イイナー」、常に退屈＆無気力な「ダリィ」、いつもモジモジして恥ずかしがっている「ハズカシ」という、大人になるための新しい感情たちだった。

前作に続いてメグ・レフォーブが脚本を手がけ、「モンスターズ・ユニバーシティ」のストーリースーパーバイザーを務めたケルシー・マンが監督を担当。全世界興行収入が16億ドルを超え、アニメーション作品史上最高記録を樹立。第97回アカデミー賞で長編アニメーション部門にノミネートされた。",ケルシー・マン,"ケルシー・マン, メグ・レフォーブ","エイミー・ポーラー, マヤ・ホーク, ケンジントン・トールマン, ライザ・ラピラ, トニー・ヘイル, ルイス・ブラック, フィリス・スミス, アヨ・エデビリ, リリマー, グレース・ルー, アデル・エグザルコプロス, ダイアン・レイン, カイル・マクラクラン, ポール・ウォルター・ハウザー, イベット・ニコール・ブラウン, ロン・ファンチズ, ジェームズ・オースティン・ジョンソン, ヨン・イェ, スティーブ・パーセル, デイブ・ゴールズ, カーク・サッチャー, フランク・オズ, ポーラ・ペル, ジューン・スキッブ, ピート・ドクター, ポーラ・パウンドストーン, ジョン・ラッツェンバーガー, サラユー・ブルー, フリー, ボビー・モイニハン, ケンドール・コイン・スコフィールド, 小清水亜美, 大竹しのぶ, 多部未華子, 横溝菜帆, 小松由佳, 落合弘治, 浦山迅, 花澤香菜, 清水理沙, 上原千果, 淺岡和花, 坂本真綾, 田中敦子, 花輪英司, 村上, 村中知, 武内駿輔, 花江夏樹, 中村悠一, 北村謙次, 辻親八, 仲野裕, 定岡小百合, 間宮康弘, 品田美穂, 本間沙智子, 藤井雄太, 後藤光祐, 小林希唯",メグ・レフォーブ,,(C)2024 Disney/Pixar. All Rights Reserved.,,1,1
もしも徳川家康が総理大臣になったら,100771,2024,2024/7/26,12,邦画,東宝,"2021年に出版され大ヒットを記録した同名ビジネス小説を原作に、AIで復活した偉人たちによる最強ヒーロー内閣の活躍を描いたコメディ映画。

コロナ禍の2020年、首相官邸でクラスターが発生し、総理大臣が急死した。かつてない危機に直面した政府は最後の手段として、歴史上の偉人たちをAIホログラムで復活させて最強の内閣をつくることに。江戸幕府を作った伝説の男・徳川家康を総理大臣に据え、織田信長や豊臣秀吉といった偉人たちが集結した夢のような内閣が誕生する。その圧倒的なカリスマ性と実行力に日本中が熱狂する中、アナウンサー志望の新人テレビ局員・西村理沙はスクープを狙い、政府のスポークスマンを務める坂本龍馬に接近するが……。

主人公のテレビ記者・理沙を浜辺美波、内閣官房長官・坂本龍馬を赤楚衛二、内閣総理大臣・徳川家康を野村萬斎、経済産業大臣・織田信長をGACKT、財務大臣・豊臣秀吉を竹中直人がそれぞれ演じる。「テルマエ・ロマエ」の武内英樹監督がメガホンをとり、「翔んで埼玉」でも武内監督と組んだ徳永友一が脚本を担当。",武内英樹,眞邊明人,"浜辺美波, 赤楚衛二, GACKT, 髙嶋政宏, 江口のりこ, 池田鉄洋, 小手伸也, 長井短, 観月ありさ, 竹中直人, 野村萬斎, 音尾琢真, 山本耕史, 梶原善, 足立英, 小籔千豊, 酒向芳",徳永友一,窪田義弘,(C)2024「もしも徳川家康が総理大臣になったら」製作委員会,,1,1
デッドプール＆ウルヴァリン,101242,2024,2024/7/24,21.1,洋画,WDS,"マーベルコミック原作の異色ヒーローアクション「デッドプール」のシリーズ第3弾。ライアン・レイノルズ演じる型破りで無責任なヒーロー、デッドプールに加え、同じくマーベルコミック原作の「X-MEN」シリーズで活躍した、ヒュー・ジャックマン扮するウルヴァリンがスクリーンにカムバックし、2大ヒーローの共演が実現した。

不治の病の治療のために受けた人体実験で、自らの容姿と引き換えに不死身の肉体を手に入れた元傭兵のウェイド・ウィルソンは、日本刀と拳銃を武器に過激でアクロバティックな戦闘スタイルのデッドプールとして戦いを続けてきた。戦う理由はあくまで超個人的なものだったが、そんな彼が世界の命運をかけた壮大なミッションに挑むことになってしまう。この予測不可能なミッションを成功させるため、デッドプールはウルヴァリンに助けを求める。獣のような闘争本能と人間としての優しい心の間で葛藤しながらも、すべてを切り裂く鋼鉄の爪を武器に戦ってきたウルヴァリンは、とある理由で、いまは戦いから遠ざかっていたが……。

主人公デッドプールをライアン・レイノルズが演じ、ヒュー・ジャックマンが2017年の「LOGAN ローガン」以来となるウルヴァリン役に復帰。メガホンをとったのは、「ナイト ミュージアム」シリーズやライアン・レイノルズとタッグを組んだ「フリー・ガイ」「アダム＆アダム」、大ヒットドラマ「ストレンジャー・シングス　未知の世界」などで知られるショーン・レビ。",ショーン・レビ,,"ライアン・レイノルズ, ヒュー・ジャックマン, エマ・コリン, モリーナ・バッカリン, ロブ・ディレイニー, レスリー・アガムズ, アーロン・スタンフォード, マシュー・マクファディン, ダフネ・キーン, ジョン・ファブロー, ジェニファー・ガーナー, ウェズリー・スナイプス, チャニング・テイタム, クリス・エバンス, ヘンリー・カビル, ウンミ・モサク, タイラー・メイン, カラン・ソーニ, ブリアナ・ヒルデブランド, 忽那汐里, ステファン・カピチッチ, ランダル・リーダー, ルイス・タン, ブレイク・ライブリー, ネイサン・フィリオン, マシュー・マコノヒー",ライアン・レイノルズ,,(C)2024 20th Century Studios / (C) and TM 2024 MARVEL.,,1,1
怪盗グルーのミニオン超変身,101289,2024,2024/7/19,45.3,洋画,東宝東和,"ユニバーサル・スタジオ×イルミネーション・スタジオによる大ヒットシリーズで、人気キャラクターのミニオンを生み出したアニメ「怪盗グルー」シリーズの長編第4作。

ある時、高校の同窓会に出席したグルーは、同級生でライバルだったマキシム・ル・マルと再会する。しかし、マキシムはグルーに強い恨みを抱いており、復讐を企てていた。マキシムから命を狙われるはめになったグルーと妻のルーシーと、マーゴ、イディス、アグネスの3姉妹、そして新たに誕生した赤ちゃんのグルー・Jr.を加えたグルーファミリーは、安全のために新たな町の隠れ家に移り住む。正体がバレないよう名前も身分も変えて生活していた一家だったが、そこにグルーの正体を知るという、悪党を夢みる少女ポピーが現れ……。

岩のように固い身体をもったメガジェリー、強力なレーザービームを放つメガメル、怪力のメガデイブ、マッハのスピードで飛ぶメガガス、手足をゴムのように自在に伸縮できるメガティムといった、スーパーパワーをもったミニオンたちが登場し、グルーファミリーの危機に立ち向かう。日本語吹き替え版は、グルー役の笑福亭鶴瓶、ルーシー役の中島美嘉とおなじみの顔ぶれが続投し、マキシム役を片岡愛之助、ポピー役を声優初挑戦の山田杏奈が務める。監督はシリーズ第1作「怪盗グルーの月泥棒」および第2作「怪盗グルーのミニオン危機一発」を手がけたクリス・ルノー。",クリス・ルノー,,"スティーブ・カレル, ウィル・フェレル, クリステン・ウィグ, ジョーイ・キング, マディソン・ポラン, ミランダ・コスグローブ, デイナ・ゲイアー, スティーブ・クーガン, ソフィア・ベルガラ, スティーブン・コルバート, クロエ・ファインマン, ピエール・コフィン, クリス・ルノー, 笑福亭鶴瓶, 片岡愛之助, 中島美嘉, 山田杏奈, 児玉すみれ, 須藤祐実, 矢島晶子, 岩崎ひろし, 松本梨香, 三木眞一郎, 小林ゆう, ならはしみき, 高乃麗, 木村昴, LiSA, 吉幾三",マイク・ホワイト,,(C)Illumination Entertainment and Universal Studios. All Rights Reserved.,,1,1
あのコはだぁれ？,101363,2024,2024/7/19,11.6,邦画,松竹,"「ミンナのウタ」の清水崇監督が、同作の“DNAを引き継ぐ作品”として手がけたホラー映画。夏休みの補習授業中の教室を舞台に、そこにいないはずの“あのコ”が巻き起こす恐怖を描き出す。

夏休みに臨時教師として補習クラスを担当することになった君島ほのかの目の前で、ひとりの女子生徒が突然屋上から飛び降りて不可解な死を遂げる。教室にいるはずのない生徒の謎に気づいたほのかは、補習を受ける三浦瞳や前川タケルらとともに、生徒たちの間で囁かれる“あのコ”にまつわる驚きの真実にたどり着く。

「NMB48」の元メンバーで、バラエティを中心に広く活躍する渋谷凪咲が臨時教師・君島ほのか役で映画初主演を務め、生徒役には「違国日記」の早瀬憩、「君たちはどう生きるか」で主人公の声優を務めた山時聡真、テレビドラマ「あなたの番です」の荒木飛羽、「こころのふた　雪ふるまちで」の今森茉耶、「孤狼の血 LEVEL2」の蒼井旬らフレッシュなキャストが集結。「ミンナのウタ」にも出演したマキタスポーツ、穂紫朋子らも出演。",清水崇,"角田ルミ, 清水崇","渋谷凪咲, 早瀬憩, 山時聡真, 荒木飛羽, 今森茉耶, 蒼井旬, 穂紫朋子, 今井あずさ, 小原正子, 伊藤麻実子, たくませいこ, 山川真里果, 松尾諭, マキタスポーツ, 染谷将太, 中務裕太",角田ルミ,大庭闘志,(C)2024「あのコはだぁれ？」製作委員会,,1,1
キングダム 大将軍の帰還,100899,2024,2024/7/12,80.3,邦画,東宝、SPE,"原泰久の同名人気漫画を実写映画化した大ヒット作「キングダム」シリーズの第4作。

春秋戦国時代の中国。馬陽の戦いで、隣国・趙の敵将を討った秦国の飛信隊の信（しん）たちの前に趙軍の真の総大将・ほう煖（ほうけん）が突如現れた。自らを「武神」と名乗るほう煖の急襲により部隊は壊滅的な痛手を追い、飛信隊の仲間たちは致命傷を負った信を背負って決死の脱出劇を試みる。一方、その戦局を見守っていた総大将・王騎は、ほう煖の背後に趙のもう一人の化け物、天才軍師・李牧（りぼく）の存在を感じ取っていた。

信役の山崎賢人、えい政役の吉沢亮、王騎役の大沢たかおらが引き続き出演し、大沢は本作で第48回日本アカデミー賞の最優秀助演男優賞を受賞した。そのほか、前作から参加したほう煖役の吉川晃司、李牧役の小栗旬らも続投。新木優子が謎多き武将・摎（きょう）役で新たに出演した。監督も引き続き佐藤信介が務め、原作者の原も1作目から通して脚本に参加している。",佐藤信介,原泰久,"山崎賢人, 吉沢亮, 橋本環奈, 清野菜名, 山田裕貴, 岡山天音, 三浦貴大, 新木優子, 吉川晃司, 髙嶋政宏, 要潤, 加藤雅也, 高橋光臣, 平山祐介, 山本耕史, 草刈正雄, 長澤まさみ, 玉木宏, 佐藤浩市, 小栗旬, 大沢たかお, 濱津隆之, 田中美央, 真壁刀義, 萩原利久, 佐久間由衣, 村川絵梨",黒岩勉,松橋真三,(C)原泰久／集英社　(C)2024映画「キングダム」製作委員会,,1,1
ルックバック,101249,2024,2024/6/28,20.4,邦画,エイベックス・ピクチャーズ,"「チェンソーマン」で知られる人気漫画家・藤本タツキが、2021年に「ジャンプ＋」で発表した読み切り漫画「ルックバック」を劇場アニメ化。「ヱヴァンゲリヲン新劇場版：破」や「君たちはどう生きるか」などさまざまな話題のアニメに携わってきた、アニメーション監督でアニメーターの押山清高が、監督・脚本・キャラクターデザインを手がけ、ひたむきに漫画づくりを続ける2人の少女の姿を描く青春ストーリー。

学生新聞で4コマ漫画を連載し、クラスメイトからも称賛されている小学4年生の藤野。そんなある日、先生から、同学年の不登校の生徒・京本の描いた4コマ漫画を新聞に載せたいと告げられる。自分の才能に自信を抱く藤野と、引きこもりで学校にも来られない京本。正反対な2人の少女は、漫画へのひたむきな思いでつながっていく。しかし、ある時、すべてを打ち砕く出来事が起こる。

ドラマ「不適切にもほどがある！」や映画「四月になれば彼女は」「ひとりぼっちじゃない」などで活躍する河合優実が藤野役、映画「あつい胸さわぎ」「カムイのうた」などで主演を務めた吉田美月喜が京本役を担当し、それぞれ声優に初挑戦した。第48回日本アカデミー賞最優秀アニメーション作品賞受賞。",押山清高,藤本タツキ,"河合優実, 吉田美月喜, 斉藤陽一郎, 岡幸太, 牧紅葉, 吉橋航也, 宮島岳史, 高橋大輔, 伊東潤, 竹内芳織, 平ますみ, 遠藤璃菜, 宮岸泰成, 髙浪実里, 徳留慎乃佑, 嶋陽大, 提咲良, 伊奈聖嵐, 森川智之, 坂本真綾",押山清高,松村一人,(C)藤本タツキ／集英社　(C)2024「ルックバック」製作委員会,,1,1
九十歳。何がめでたい,100557,2024,2024/6/21,10.4,邦画,松竹,"作家・佐藤愛子が日々の暮らしと世の中への怒りや戸惑いを独特のユーモアでつづったベストセラーエッセイ集を、草笛光子主演で映画化。

これまで数々の文学賞を受賞してきた作家の佐藤愛子は、90歳を過ぎた現在は断筆宣言して人づきあいも減り、鬱々とした日々を過ごしていた。そんな彼女のもとに、中年の冴えない編集者・吉川がエッセイの執筆依頼を持ち込んでくる。生きづらい世の中への怒りを歯に衣着せぬ物言いでつづったエッセイは思いがけず大反響を呼び、愛子の人生は90歳にして大きく変わり始める。

編集者・吉川を唐沢寿明、愛子の娘・響子を真矢ミキ、孫・桃子を藤間爽子、吉川の妻・麻里子を木村多江、娘・美優を中島瑠菜が演じる。「老後の資金がありません！」などの前田哲監督がメガホンをとり、「水は海に向かって流れる」でも前田監督と組んだ大島里美が脚本を担当。",前田哲,佐藤愛子,"草笛光子, 唐沢寿明, 藤間爽子, 片岡千之助, 中島瑠菜, オダギリジョー, 清水ミチコ, LiLiCo, 宮野真守, 石田ひかり, 三谷幸喜, 木村多江, 真矢ミキ",大島里美,近藤あゆみ,,,1,1
ディア・ファミリー,100753,2024,2024/6/14,14.7,邦画,東宝,"世界で17万人の命を救ったIABP（大動脈内バルーンパンピング）バルーンカテーテルの誕生にまつわる実話を映画化したヒューマンドラマ。

1970年代。小さな町工場を経営する坪井宣政と妻・陽子の娘である佳美は生まれつき心臓疾患を抱えており、幼い頃に余命10年を宣告されてしまう。どこの医療機関でも治すことができないという厳しい現実を突きつけられた宣政は、娘のために自ら人工心臓を作ることを決意。知識も経験もない状態からの医療器具開発は限りなく不可能に近かったが、宣政と陽子は娘を救いたい一心で勉強に励み、有識者に頭を下げ、資金繰りをして何年も開発に奔走する。しかし佳美の命のリミットは刻一刻と近づいていた。

大泉洋が主人公・宣政を熱演するほか、妻・陽子役を菅野美穂、娘・佳美役を福本莉子が務めた。主人公のモデルとなった筒井宣政氏と20年以上にわたり親交のあるノンフィクション作家・清武英利による膨大な取材ソースを基に「糸」の林民夫が脚本を手がけ、「君の膵臓をたべたい」の月川翔が監督を務めた。",月川翔,清武英利,"大泉洋, 菅野美穂, 福本莉子, 新井美羽, 上杉柊平, 徳永えり, 満島真之介, 戸田菜穂, 川栄李奈, 有村架純, 松村北斗, 光石研",林民夫,窪田義弘,(C)2024「ディア・ファミリー」製作委員会,,1,1
マッドマックス：フュリオサ,98959,2024,2024/5/31,10,洋画,WB,"2015年に公開され、日本でも熱狂的なファンを生んだジョージ・ミラー監督のノンストップカーアクション「マッドマックス　怒りのデス・ロード」。同作に登場した女戦士フュリオサの若き日の物語を描く。

世界の崩壊から45年。暴君ディメンタス将軍の率いるバイカー軍団の手に落ち、故郷や家族、すべてを奪われたフュリオサは、ディメンタス将軍と鉄壁の要塞を牛耳るイモータン・ジョーが土地の覇権を争う、狂気に満ちた世界と対峙することになる。狂ったものだけが生き残れる過酷な世界で、フュリオサは復讐のため、そして故郷に帰るため、人生を懸けて修羅の道を歩む。

「マッドマックス　怒りのデス・ロード」ではシャーリーズ・セロンが演じ、強烈な存在感とカリスマ性で人気を博した女戦士フュリオサを、今作では「クイーンズ・ギャンビット」「ラストナイト・イン・ソーホー」などで人気のアニヤ・テイラー＝ジョイが新たに演じた。ディメンタス将軍役で「アベンジャーズ」「タイラー・レイク」シリーズのクリス・ヘムズワースが共演。1979年公開の第1作「マッドマックス」から「マッドマックス　怒りのデス・ロード」まで一貫してメガホンをとっている、シリーズの生みの親であるジョージ・ミラーが、今作でも監督・脚本を務めた。",ジョージ・ミラー,,"アニヤ・テイラー＝ジョイ, クリス・ヘムズワース, トム・バーク, アリーラ・ブラウン, チャーリー・フレイザー, ラッキー・ヒューム, ジョン・ハワード, リー・ペリー, ネイサン・ジョーンズ, ジョシュ・ヘルマン, アンガス・サンプソン, エルザ・パタキー",ジョージ・ミラー,,(C)2024 Warner Bros. Entertainment Inc. All Rights Reserved.,,1,1
帰ってきた あぶない刑事,100647,2024,2024/5/24,16.4,邦画,東映,"1986年のテレビ放送以来、ドラマに加え、劇場版7作品が製作されてきた、舘ひろし＆柴田恭兵主演の人気シリーズ8年ぶりの劇場作品。舘、柴田、浅野温子、仲村トオルらシリーズおなじみのメンバーに加え、ヒロインとして土屋太鳳が出演。

刑事を定年退職し、ニュージーランドで探偵事務所を開業していたタカこと鷹山敏樹と、ユージこと大下勇次が、8年ぶりに横浜へと戻ってくる。そんなある日、香港在住の日本人弁護士が何者かに殺害される事件が起こる。事件にひっかかりを感じた鷹山は、過去に2人と因縁のある男・劉飛龍（リウ・フェイロン）のもとを訪ねるが、鷹山はそこで出会った飛龍のビジネスパートナーであるステラ・リーが、かつての恋人に似ていることが気にかかった。その頃、2人の「T＆Y探偵事務所」に永峰彩夏という女性が訪れ、母親を捜してほしいと依頼してくる。彩夏の母親の夏子は、鷹山と大下の旧知の女性だった。夏子捜索を開始した2人だったが、横浜では殺人事件が多発し、やがて爆弾が仕掛けられるテロまでもが発生する。

土屋が彩夏役を務め、劉飛龍役を岸谷五朗、そのパートナーであるステラ・リー役を吉瀬美智子がそれぞれ演じた。そのほか西野七瀬、早乙女太一らが顔をそろえる。監督は「朽ちないサクラ」の原廣利。",原廣利,,"舘ひろし, 浅野温子, 仲村トオル, 柴田恭兵, 土屋太鳳, 西野七瀬, 早乙女太一, 深水元基, ベンガル, 長谷部香苗, 鈴木康介, 小越勇輝, 杉本哲太, 岸谷五朗, 吉瀬美智子",大川俊道,近藤正岳,(C)2024「帰ってきた あぶない刑事」製作委員会,,1,1
